name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2004-11-20,17'4 ºC,2'8 ºC,8'8 ºC,17.4,1.2,8.4,2.9,70.1,0.0 l/m2,0,0.0,,,8.0,,9.8 m/s,19.1,1025.3,0.3,11.8,,,,,2004-11-20T08:06:57,2004-11-20T17:53:38,0.28,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
madrid,2006-01-18,12'5 ºC,0'4 ºC,6'0 ºC,12.5,-0.9,5.5,2.3,79.2,0.012 l/m2,100,4.17,"rain,snow",,64.0,,12.0 m/s,354.8,1021.9,32.9,9.4,,,,,2006-01-18T08:34:44,2006-01-18T18:15:57,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
madrid,2015-05-08,23'7 ºC,12'7 ºC,19'0 ºC,23.7,12.7,19.0,8.0,50.0,0.0 l/m2,0,0.0,,,,38.9,25.7 m/s,231.7,1018.9,22.1,16.3,335.1,29.0,10.0,,2015-05-08T07:06:10,2015-05-08T21:17:02,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08227099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,1998-11-11,18'3 ºC,8'1 ºC,13'6 ºC,18.3,6.8,13.6,9.1,75.9,0.0 l/m2,0,0.0,,,,,18.4 m/s,261.9,1023.5,41.9,10.7,,,,,1998-11-11T07:55:51,1998-11-11T18:01:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08227099999,08221099999,08224099999,08272099999,08213099999,08219099999,08223099999,08215099999"
madrid,1996-10-27,23'3 ºC,6'1 ºC,15'2 ºC,23.3,6.1,15.2,6.9,61.4,0.0 l/m2,0,0.0,,,,,13.6 m/s,272.2,1024.9,20.0,11.0,,,,,1996-10-27T07:38:59,1996-10-27T18:17:38,0.53,Clear,Partly cloudy throughout the day.,clear-day,"08221099999,08224099999,08272099999,08213099999,08223099999,08215099999"
madrid,1999-04-30,18'1 ºC,7'1 ºC,12'6 ºC,18.1,6.3,12.5,7.1,72.7,0.0 l/m2,0,0.0,,,,,14.4 m/s,176.0,1014.5,74.6,11.8,,,,,1999-04-30T07:15:58,1999-04-30T21:08:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,08227099999,08221099999,08272099999,08219099999,08213099999,08223099999,08215099999"
madrid,1995-07-20,40'1 ºC,23'1 ºC,32'0 ºC,41.6,23.1,31.8,13.0,32.7,0.0 l/m2,0,0.0,,,,,28.1 m/s,242.3,1012.7,13.6,14.9,,,,,1995-07-20T07:00:48,1995-07-20T21:40:51,0.76,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,08272099999,08226099999,08213099999,08223099999,08215099999"
madrid,1986-05-08,21'1 ºC,3'1 ºC,12'3 ºC,21.1,3.1,12.3,5.2,64.9,0.0 l/m2,0,0.0,,,,,10.1 m/s,204.9,1021.7,35.6,11.2,,,,,1986-05-08T07:06:04,1986-05-08T21:17:01,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08227099999,08221099999,08224099999,08213099999,08223099999,08220099999,08215099999"
madrid,2011-08-17,35'2 ºC,19'5 ºC,27'9 ºC,34.2,19.5,27.2,10.8,37.4,0.0 l/m2,0,0.0,,,,44.3,22.6 m/s,252.4,1012.2,3.7,21.3,313.9,27.3,9.0,,2011-08-17T07:27:01,2011-08-17T21:10:07,0.62,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,LETO,08219099999,08223099999,08215099999"
madrid,1985-03-19,12'6 ºC,5'3 ºC,10'0 ºC,12.6,2.2,8.8,5.2,72.4,0.0 l/m2,0,0.0,,,,,38.5 m/s,256.4,1004.2,61.9,10.8,,,,,1985-03-19T07:20:04,1985-03-19T19:25:42,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999"
madrid,1981-07-08,32'8 ºC,17'8 ºC,25'8 ºC,31.1,17.8,25.2,10.5,41.0,0.0 l/m2,0,0.0,,,,,16.0 m/s,154.1,1011.2,30.4,11.2,,,,,1981-07-08T06:52:06,1981-07-08T21:47:07,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08272099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,1979-10-05,18'5 ºC,9'0 ºC,14'1 ºC,18.5,9.0,14.1,9.0,72.8,0.0 l/m2,0,0.0,,,,,23.3 m/s,236.2,1011.3,70.3,11.5,,,,,1979-10-05T07:14:23,1979-10-05T18:51:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08272099999,08226099999,08213099999,08223099999,08215099999"
madrid,2017-09-01,28'1 ºC,17'1 ºC,22'5 ºC,27.4,17.1,22.4,10.7,49.0,0.0 l/m2,0,0.0,,,,37.0,18.0 m/s,34.7,1016.2,28.7,20.0,284.9,24.5,9.0,,2017-09-01T07:42:03,2017-09-01T20:46:39,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,LEMD,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2007-02-07,10'6 ºC,4'8 ºC,7'3 ºC,10.6,1.6,4.5,3.5,76.9,0.05 l/m2,100,4.17,rain,,32.0,,29.4 m/s,234.6,1009.8,66.6,14.8,,,,,2007-02-07T08:18:31,2007-02-07T18:39:49,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
madrid,1984-12-18,10'0 ºC,3'3 ºC,6'6 ºC,10.0,1.2,5.2,4.3,86.3,0.07 l/m2,100,4.17,rain,,5.0,,20.6 m/s,276.3,1022.1,51.4,8.6,,,,,1984-12-18T08:32:56,1984-12-18T17:50:08,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08215099999,08220099999"
madrid,2020-08-25,36'0 ºC,21'1 ºC,27'9 ºC,33.8,21.1,27.1,9.2,33.4,0.0 l/m2,0,0.0,,,,17.6,13.7 m/s,296.5,1015.5,2.7,17.5,181.6,15.8,5.0,,2020-08-25T07:35:35,2020-08-25T20:57:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,D8661,08226099999,08219099999,08223099999,08222099999,08215099999"
madrid,1991-02-25,17'3 ºC,1'3 ºC,8'7 ºC,17.3,0.7,8.5,2.0,66.3,0.0 l/m2,0,0.0,,,90.0,,8.4 m/s,296.8,1023.6,26.1,9.7,,,,,1991-02-25T07:55:20,1991-02-25T19:01:06,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,1991-02-20,13'6 ºC,2'1 ºC,7'3 ºC,13.6,0.0,6.4,1.5,67.9,0.0 l/m2,0,0.0,,,125.0,,18.4 m/s,356.4,1012.7,31.5,12.1,,,,,1991-02-20T08:02:26,1991-02-20T18:55:18,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08272099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,2008-06-24,30'0 ºC,16'0 ºC,22'4 ºC,28.8,16.0,22.2,13.0,59.5,4.453 l/m2,100,8.33,rain,,,,24.7 m/s,338.7,1017.1,54.3,18.3,,,,,2008-06-24T06:45:36,2008-06-24T21:48:53,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,08227099999,08226099999,08219099999,08213099999,08223099999,08215099999"
madrid,1985-08-02,32'3 ºC,15'3 ºC,24'1 ºC,31.4,15.3,23.7,11.1,46.6,0.0 l/m2,0,0.0,,,,,25.2 m/s,39.9,1017.3,2.8,12.0,,,,,1985-08-02T07:12:47,1985-08-02T21:28:34,0.55,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,1974-05-08,20'3 ºC,2'1 ºC,11'9 ºC,20.3,2.1,11.9,4.3,62.0,0.0 l/m2,0,0.0,,,,,23.3 m/s,239.5,1017.3,28.0,10.5,,,,,1974-05-08T07:06:10,1974-05-08T21:16:54,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08215099999"
madrid,1986-02-15,10'0 ºC,5'3 ºC,6'9 ºC,10.0,2.1,4.0,3.5,79.8,0.046 l/m2,100,4.17,rain,,250.0,,31.7 m/s,249.1,1013.1,59.9,10.8,,,,,1986-02-15T08:08:50,1986-02-15T18:49:38,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,08272099999,08213099999,08223099999,08215099999,08220099999"
madrid,1996-03-28,18'6 ºC,9'4 ºC,14'6 ºC,18.6,6.9,14.5,4.9,54.1,0.0 l/m2,0,0.0,,,115.0,,22.3 m/s,306.1,1017.9,35.7,12.8,,,,,1996-03-28T07:04:42,1996-03-28T19:35:25,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08272099999,08226099999,08213099999,08223099999,08215099999"
madrid,2014-07-14,35'0 ºC,18'9 ºC,27'6 ºC,32.5,18.9,26.5,7.1,30.5,0.0 l/m2,0,0.0,,,,31.3,12.1 m/s,308.5,1015.3,11.0,28.9,357.9,30.9,10.0,,2014-07-14T06:56:26,2014-07-14T21:44:27,0.57,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEVS,LEGT,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,1970-05-21,27'2 ºC,7'9 ºC,17'8 ºC,26.7,7.8,17.6,2.4,40.4,,0,0.0,,,,,29.5 m/s,5.1,,17.5,11.0,,,,,1970-05-21T05:53:42,1970-05-21T20:29:19,0.5,Clear,Clear conditions throughout the day.,clear-day,08227099999
madrid,1987-03-07,19'0 ºC,7'3 ºC,12'7 ºC,19.0,6.5,12.7,7.2,71.7,0.0 l/m2,0,0.0,,,,,15.9 m/s,255.6,1018.7,62.4,10.1,,,,,1987-03-07T07:40:12,1987-03-07T19:12:18,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08223099999,08220099999,08215099999"
madrid,2004-12-28,6'6 ºC,-4'5 ºC,1'8 ºC,4.0,-4.5,-0.1,-3.5,69.2,0.159 l/m2,100,12.5,"rain,snow",,30.0,,22.5 m/s,233.4,1024.5,61.3,11.4,,,,,2004-12-28T08:37:19,2004-12-28T17:55:49,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
madrid,1971-09-26,26'1 ºC,8'1 ºC,16'9 ºC,26.1,6.8,16.8,6.5,53.6,,0,0.0,,,,,9.4 m/s,55.4,,19.4,10.0,,,,,1971-09-26T07:05:20,1971-09-26T19:06:37,0.23,Clear,Clear conditions throughout the day.,clear-day,08227099999
madrid,1990-02-01,8'2 ºC,-0'1 ºC,4'3 ºC,4.6,-3.3,1.1,1.3,81.1,0.3 l/m2,100,4.17,rain,,40.0,,34.8 m/s,222.5,1020.5,37.9,11.3,,,,,1990-02-01T08:24:35,1990-02-01T18:32:38,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,1973-01-16,8'0 ºC,2'7 ºC,5'1 ºC,4.7,-0.4,2.5,3.1,87.1,0.0 l/m2,0,0.0,,,,,25.5 m/s,177.3,1009.0,71.2,8.0,,,,,1973-01-16T08:35:44,1973-01-16T18:13:45,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08272099999,08224099999,08226099999,08213099999,08215099999"
madrid,1999-03-29,19'1 ºC,1'1 ºC,10'4 ºC,19.1,-1.4,10.1,1.8,58.5,0.0 l/m2,0,0.0,,,25.0,,15.8 m/s,248.4,1019.1,26.8,13.2,,,,,1999-03-29T08:04:15,1999-03-29T20:35:41,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08272099999,08213099999,08223099999,08215099999"
madrid,2011-11-30,13'2 ºC,0'9 ºC,6'3 ºC,13.2,-0.9,5.8,2.9,80.6,0.0 l/m2,0,0.0,,,,,9.2 m/s,7.2,1028.5,6.4,8.8,120.2,10.4,5.0,,2011-11-30T08:17:09,2011-11-30T17:49:14,0.17,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,1998-02-20,17'1 ºC,4'1 ºC,9'7 ºC,17.1,2.9,9.5,4.3,71.1,0.0 l/m2,0,0.0,,,125.0,,11.2 m/s,330.7,1025.4,64.7,10.3,,,,,1998-02-20T08:02:00,1998-02-20T18:55:39,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08272099999,08213099999,08223099999,08215099999"
madrid,2003-03-25,16'3 ºC,4'1 ºC,10'8 ºC,16.3,2.2,10.2,1.4,53.4,0.023 l/m2,100,4.17,rain,,,,12.2 m/s,78.4,1021.3,66.6,11.5,,,,,2003-03-25T07:10:47,2003-03-25T19:31:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
madrid,2003-04-10,16'6 ºC,3'3 ºC,10'3 ºC,16.6,2.6,9.8,0.3,51.1,0.0 l/m2,0,0.0,,,,,38.6 m/s,241.5,1008.9,52.4,12.3,,,,,2003-04-10T07:44:54,2003-04-10T20:48:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
madrid,2004-12-29,9'8 ºC,2'0 ºC,6'3 ºC,6.8,-0.4,3.4,-2.3,55.6,0.009 l/m2,100,4.17,rain,,32.0,,27.9 m/s,0.1,1028.4,40.5,12.5,,,,,2004-12-29T08:37:34,2004-12-29T17:56:33,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
